Library,Symbol,Value,Description,Footprint,Datasheet
Power_Management,MAX9612,MAX9612,"High-Side, Current-Sense Amplifiers with 12-Bit ADC and Op Amp/Comparator, 0V to 60V Input Common-Mode Voltage Range, 2.7V to 5.5V Power-Supply Range, Compatible with 1.8V and 3.3V Logic, Inverting Output, MSOP-10",Package_SO:MSOP-10_3x3mm_P0.5mm,https://www.analog.com/media/en/technical-documentation/data-sheets/max9611-max9612.pdf
Analog_ADC,LTC1748,LTC1748,"14-Bit, 80Msps, Low Noise, ADC, TSSOP-48",Package_SO:TSSOP-48_6.1x12.5mm_P0.5mm,https://www.analog.com/media/en/technical-documentation/data-sheets/1748fa.pdf
Analog_ADC,ADS8685RUM,ADS8685RUM,"16-Bit, High-Speed, Single-Supply, SAR ADC Data Acquisition System with Programmable, Bipolar Input Ranges 500KSPS, QFN-16",Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm,http://www.ti.com/lit/ds/symlink/ads8681.pdf
Analog_ADC,ADS8688,ADS8688,"16-Bit, 500-kSPS, 8-Channels, Single-Supply, SAR ADC with Bipolar Input Range, TSSOP-38",Package_SO:TSSOP-38_4.4x9.7mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads8688.pdf
Analog_ADC,ADS8689RUM,ADS8689RUM,"16-Bit, High-Speed, Single-Supply, SAR ADC Data Acquisition System with Programmable, Bipolar Input Ranges, 100KSPS, QFN-16",Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm,http://www.ti.com/lit/ds/symlink/ads8681.pdf
Audio,ES8388,ES8388,"Low Power Stereo Audio CODEC With Headphone Amplifier, 24-bit, 8kHz - 96kHz ADC / DAC sampling frequency, 1.8V - 3.3V supply, WQFN-28",Package_DFN_QFN:QFN-28-1EP_4x4mm_P0.45mm_EP2.6x2.6mm,http://www.everest-semi.com/pdf/ES8388%20DS.pdf
Interface_Telecom,Si3210,Si3210,ProSLIC Programmable cmos slic/codec with ringing/battery voltage generation,Package_SO:TSSOP-38_4.4x9.7mm_P0.5mm,http://www.mouser.com/ds/2/368/si3210-38974.pdf
Analog_ADC,LTC1742,LTC1742,"14-Bit, 65Msps, Low Noise, ADC, TSSOP-48",Package_SO:TSSOP-48_6.1x12.5mm_P0.5mm,https://www.analog.com/media/en/technical-documentation/data-sheets/1742f.pdf
Analog_ADC,LTC1744,LTC1744,"14-Bit, 50Msps, ADC, TSSOP-48",Package_SO:TSSOP-48_6.1x12.5mm_P0.5mm,https://www.analog.com/media/en/technical-documentation/data-sheets/1744f.pdf
Analog_ADC,LTC1746,LTC1746,"Low Power, 14-Bit, 25Msps, ADC, TSSOP-48",Package_SO:TSSOP-48_6.1x12.5mm_P0.5mm,https://www.analog.com/media/en/technical-documentation/data-sheets/1746f.pdf
MCU_AnalogDevices,ADUC816BSZ,ADUC816BSZ,"MicroConverter, Dual-Channel 16-bit ADCs with Embedded Flash MCU, 12-bit DAC, 256 Bytes User RAM, 8KB Flash/EE Program Memory, 640 Bytes Flash/EE Data Memory, PQFP-52 (MQFP-52, case S-52-2)",Package_QFP:MO112AC1_PQFP-52_10x10mm_P0.65mm,https://www.analog.com/static/imported-files/data_sheets/ADUC816.pdf
Analog_ADC,LTC2291xUP,LTC2291xUP,"Dual-Channel, 12-Bit Low Power ADC, 25Msps, QFN-64",Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm,https://www.analog.com/media/en/technical-documentation/data-sheets/229321fa.pdf
Video,ADV7280xCP,ADV7280xCP,"10-Bit, 4x Oversampled SDTV Video Decoder with Deinterlacer, LFCSP-32",Package_CSP:LFCSP-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ADV7280.PDF
Video,ADV7390BCPZ,ADV7390BCPZ,"10-Bit SD/HD Video Encoder, Macrovision Antitaping, LFCSP-32",Package_CSP:LFCSP-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ADV7390_7391_7392_7393.pdf
Video,ADV7391BCPZ,ADV7391BCPZ,"10-Bit SD/HD Video Encoder, LFCSP-32",Package_CSP:LFCSP-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ADV7390_7391_7392_7393.pdf
Analog_ADC,LTC2282xUP,LTC2282xUP,"Dual-Channel, 12-Bit Low Power ADC, 105Msps, QFN-64",Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm,https://www.analog.com/media/en/technical-documentation/data-sheets/2282fb.pdf
Transformer,ED8_4,ED8_4,600:600 Impedance Permalloy Core 1:1 Isolated Audio Transformer,Transformer_SMD:Transformer_ED8_4-Lead_10.5x8mm_P5mm,https://gitlab.com/kicad/libraries/kicad-footprints/-/merge_requests/3626
Audio,WM8731SEDS,WM8731SEDS,"Portable Internet Audio CODEC with Headphone Driver and Programmable Sample Rates, SSOP-28",Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,https://statics.cirrus.com/pubs/proDatasheet/WM8731_v4.9.pdf
Audio,WM8731CLSEFL,WM8731CLSEFL,"Portable Internet Audio CODEC with Headphone Driver and Programmable Sample Rates, QFN-28",Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,https://statics.cirrus.com/pubs/proDatasheet/WM8731_v4.9.pdf
Analog_ADC,LTC2284xUP,LTC2284xUP,"Dual-Channel, 14-Bit Low Power ADC, 105Msps, QFN-64",Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm,https://www.analog.com/media/en/technical-documentation/data-sheets/2284fa.pdf
Analog_ADC,ADS8684,ADS8684,"16-Bit, 500-kSPS, 4-Channels, Single-Supply, SAR ADC with Bipolar Input Range, TSSOP-38",Package_SO:TSSOP-38_4.4x9.7mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads8688.pdf
Analog_ADC,ADS8681RUM,ADS8681RUM,"16-Bit, High-Speed, Single-Supply, SAR ADC Data Acquisition System with Programmable, Bipolar Input Ranges, 1MSPS, QFN-16",Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm,http://www.ti.com/lit/ds/symlink/ads8681.pdf
Analog_ADC,ADS7868,ADS7868,"Single Channel 8-bit ADC,  100-200ksps, SPI, micro-power, SOT-23-6",Package_TO_SOT_SMD:TSOT-23-6,http://www.ti.com/lit/ds/symlink/ads7866.pdf
Analog_ADC,ADS7867,ADS7867,"Single Channel 10-bit ADC,  100-200ksps, SPI, micro-power, SOT-23-6",Package_TO_SOT_SMD:TSOT-23-6,http://www.ti.com/lit/ds/symlink/ads7866.pdf
Analog_ADC,ADS1014IDGS,ADS1014IDGS,"Ultra-Small, Low-Power, I2C-Compatible, 3.3-kSPS, 12-Bit ADCs With Internal Reference, Oscillator, and Programmable Comparator, VSSOP-10",Package_SO:TSSOP-10_3x3mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads1015.pdf
Analog_ADC,ADS1015IDGS,ADS1015IDGS,"Ultra-Small, Low-Power, I2C-Compatible, 3.3-kSPS, 12-Bit ADCs With Internal Reference, Oscillator, and Programmable Comparator, VSSOP-10",Package_SO:TSSOP-10_3x3mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads1015.pdf
Analog_ADC,ADS1113IDGS,ADS1113IDGS,"Ultra-Small, Low-Power, I2C-Compatible, 860-SPS, 16-Bit ADCs With Internal Reference and Oscillator, VSSOP-10",Package_SO:TSSOP-10_3x3mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads1113.pdf
Analog_ADC,ADS1114IDGS,ADS1114IDGS,"Ultra-Small, Low-Power, I2C-Compatible, 860-SPS, 16-Bit ADCs With Internal Reference, Oscillator, and Programmable Comparator, VSSOP-10",Package_SO:TSSOP-10_3x3mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads1113.pdf
Analog_ADC,ADS1115IDGS,ADS1115IDGS,"Ultra-Small, Low-Power, I2C-Compatible, 860-SPS, 16-Bit ADCs With Internal Reference, Oscillator, and Programmable Comparator, VSSOP-10",Package_SO:TSSOP-10_3x3mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads1113.pdf
Analog_ADC,ADS1243,ADS1243,"24-bit ADC, 8 Channels, SPI compatible, PGA 1 to 128, TSSOP-20",Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,http://www.ti.com/lit/ds/symlink/ads1243.pdf
Analog_ADC,ADS127L01IPBS,ADS127L01IPBS,"24-bit delta-sigma ADC, Single Channel, 512 kSPS, SPI & Frame-Sync interface, PQFP-32",Package_QFP:PQFP-32_5x5mm_P0.5mm,https://www.ti.com/lit/ds/symlink/ads127l01.pdf
Analog_ADC,ADS7029,ADS7029,"Small-Size, Low-Power, 8-Bit, 2-MSPS, SAR ADC",Package_SO:VSSOP-8_2.3x2mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads7029-q1.pdf
Analog_ADC,ADS7039,ADS7039,"Small-Size, Low-Power, 10-Bit, 2-MSPS, SAR ADC",Package_SO:VSSOP-8_2.3x2mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads7039-q1.pdf
Analog_ADC,ADS7040xDCU,ADS7040xDCU,"Ultra-Low Power, Ultra-Small Size, 8-Bit, 1-MSPS, SAR ADC",Package_SO:VSSOP-8_2.3x2mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads7040.pdf
Analog_ADC,ADS7041xDCU,ADS7041xDCU,"Ultra-Low Power, Ultra-Small Size, 10-Bit, 1-MSPS, SAR ADC",Package_SO:VSSOP-8_2.3x2mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads7041.pdf
Analog_ADC,ADS7042xDCU,ADS7042xDCU,"Ultra-Low Power, Ultra-Small Size, 12-Bit, 1-MSPS, SAR ADC",Package_SO:VSSOP-8_2.3x2mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads7042.pdf
Analog_ADC,ADS7043xDCU,ADS7043xDCU,"Ultra-Low Power, Ultra-Small Size, 12-Bit, 1-MSPS, SAR ADC",Package_SO:VSSOP-8_2.3x2mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads7043.pdf
Analog_ADC,ADS7044xDCU,ADS7044xDCU,"Ultra-Low Power, Ultra-Small Size, 12-Bit, 1-MSPS, SAR ADC",Package_SO:VSSOP-8_2.3x2mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads7044.pdf
Analog_ADC,ADS7049,ADS7049,"Small-Size, Low-Power, 12-Bit, 2-MSPS, SAR ADC",Package_SO:VSSOP-8_2.3x2mm_P0.5mm,http://www.ti.com/lit/ds/symlink/ads7049-q1.pdf
Analog_ADC,ADS7828,ADS7828,"12-Bits, 8-Channels, ADC, I2C, TSSOP-16",Package_SO:TSSOP-16_4.4x5mm_P0.65mm,http://www.ti.com/lit/ds/symlink/ads7828.pdf
Analog_ADC,ADS7866,ADS7866,"Single Channel 12-bit ADC,  100-200ksps, SPI, micro-power, SOT-23-6",Package_TO_SOT_SMD:TSOT-23-6,http://www.ti.com/lit/ds/symlink/ads7866.pdf
Analog_ADC,LTC2290xUP,LTC2290xUP,"Dual-Channel, 12-Bit Low Power ADC, 10Msps, QFN-64",Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm,https://www.analog.com/media/en/technical-documentation/data-sheets/2290fa.pdf
Analog_ADC,LTC2292xUP,LTC2292xUP,"Dual-Channel, 12-Bit Low Power ADC, 40Msps, QFN-64",Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm,https://www.analog.com/media/en/technical-documentation/data-sheets/229321fa.pdf
Analog_ADC,AD6645,AD6645,"A/D Converter, 14-Bit, 80 MSPS/105 MSPS, TQFP-52",Package_QFP:TQFP-52-1EP_10x10mm_P0.65mm_EP6.5x6.5mm,https://www.analog.com/media/en/technical-documentation/data-sheets/AD6645.pdf
MCU_Microchip_PIC32,PIC32MX130F064D-IPT,PIC32MX130F064D-IPT,"32-bit Microcontrollers (64KB Flash and 16KB SRAM TQFP-44) with Audio and Graphics Interfaces, USB, and Advanced Analog",Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/60001168F.pdf
Analog_Switch,DG884DN,DG884DN,"8 x 4 Wideband Video Crosspoint Array, 45Ohm Ron, PLCC-44",Package_LCC:PLCC-44,http://www.vishay.com/docs/70071/dg884.pdf
MCU_Microchip_PIC32,PIC32MX270F256D-IPT,PIC32MX270F256D-IPT,"32-bit Microcontrollers (256KB Flash and 64KB SRAM TQFP-44) with Audio and Graphics Interfaces, USB, and Advanced Analog",Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/60001168F.pdf
MCU_Microchip_PIC32,PIC32MX250F128D-IPT,PIC32MX250F128D-IPT,"32-bit Microcontrollers (128KB Flash and 32KB SRAM TQFP-44) with Audio and Graphics Interfaces, USB, and Advanced Analog",Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/60001168F.pdf
MCU_Microchip_PIC32,PIC32MX230F064D-IPT,PIC32MX230F064D-IPT,"32-bit Microcontrollers (64KB Flash and 16KB SRAM TQFP-44) with Audio and Graphics Interfaces, USB, and Advanced Analog",Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/60001168F.pdf
