Library,Symbol,Value,Description,Footprint,Datasheet
Regulator_Linear,LD1086D2T18TR,LD1086D2T18TR,"Positive, 1.5A 30V, Linear Regulator, Fixed Output 1.8V, TO-263",Package_TO_SOT_SMD:TO-263-2,https://www.st.com/resource/en/datasheet/ld1086.pdf
Reference_Voltage,REF5050ADGK,REF5050ADGK,"5V 0.1% 10mA Low Noise Precision Voltage Reference, MSOP-8",Package_SO:MSOP-8_3x3mm_P0.65mm,http://www.ti.com/lit/ds/symlink/ref5030.pdf
Regulator_Linear,MCP1804x-3002xDB,MCP1804x-3002xDB,"150mA, 28V LDO Regulator With Shutdown, 3.0V Fixed Output, SOT-223",Package_TO_SOT_SMD:SOT-223-3_TabPin2,http://ww1.microchip.com/downloads/en/DeviceDoc/20002200D.pdf
Reference_Voltage,REF6050xDGK,REF6050xDGK,"5.0V 0.05% 4mA Extremely Low Noise High Precision Voltage Reference, VSSOP-8",Package_SO:VSSOP-8_3x3mm_P0.65mm,https://www.ti.com/lit/ds/symlink/ref6025.pdf
Regulator_Linear,AMS1117CD-5.0,AMS1117CD-5.0,"1A Low Dropout regulator, positive, 5.0V fixed output, TO-252",Package_TO_SOT_SMD:TO-252-3_TabPin2,http://www.advanced-monolithic.com/pdf/ds1117.pdf
Regulator_Linear,ADP7142ARDZ-1.8,ADP7142ARDZ-1.8,"200mA, Low Noise, CMOS Low Dropout Regulator, Positive, 1.8V Fixed Output, SOIC-8",Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP7142.pdf
Regulator_Linear,ADP7182AUJZ-5.0,ADP7182AUJZ-5.0,"200mA, Low Noise, CMOS Low Dropout Regulator, Negative, -5.0V Fixed Output, TSOT-23-5",Package_TO_SOT_SMD:TSOT-23-5,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP7182.pdf
Reference_Voltage,REF3240AMDBVREP,REF3240AMDBVREP,"4.096V 100μA Micropower Precision Voltage Reference, SOT-23-6",Package_TO_SOT_SMD:SOT-23-6,http://www.ti.com/lit/ds/symlink/ref3240-ep.pdf
Reference_Voltage,REF3040,REF3040,"4.096V 50-ppm/°C Max, 50-μA, CMOS Voltage Reference, SOT-23-3",Package_TO_SOT_SMD:SOT-23,http://www.ti.com/lit/ds/symlink/ref3033.pdf
Reference_Voltage,REF2041,REF2041,"4.096V Low-Drift, Low-Power, Dual-Output, VREF and VREF / 2 Voltage Reference, SOT-23-5",Package_TO_SOT_SMD:SOT-23-5,https://www.ti.com/lit/ds/symlink/ref2033.pdf
Reference_Voltage,MCP1541-TT,MCP1541-TT,"4.096V Voltage Reference, SOT-23",Package_TO_SOT_SMD:SOT-23,http://ww1.microchip.com/downloads/en/devicedoc/21653b.pdf
Reference_Voltage,MCP1501-40xSN,MCP1501-40xSN,"4.096V, 0.1%, 20mA, Precision Voltage Reference, SOIC-8",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://ww1.microchip.com/downloads/en/DeviceDoc/20005474E.pdf
Reference_Voltage,REF35102QDBVR,REF35102QDBVR,"1.024V, Ultra Low-Power, High-Precision Voltage Reference, SOT-23-6",Package_TO_SOT_SMD:SOT-23-6,https://www.ti.com/lit/ds/symlink/ref35.pdf
